METHOD,FRONTEND PATH,REGISTERED_ROUTE,IMPL_STATUS
POST,/api/app/members/invite,YES,REAL
PATCH,/api/app/members/:id/role,YES,REAL
DELETE,/api/app/members/:id,YES,REAL
GET,/api/app/members,YES,REAL
POST,/api/app/notifications/read,YES,REAL
GET,/api/app/notifications/unread-count,YES,REAL
GET,/api/app/notifications,YES,REAL
POST,/api/app/projects/:id/theme-template/import,YES,REAL
GET,/api/app/projects/:id/theme-template,YES,REAL
GET,/api/app/projects/:id/theme-repository,YES,REAL
GET,/api/app/projects/:id/export,YES,REAL
DELETE,/api/app/projects/:id,YES,REAL
GET,/api/app/projects/:id,YES,REAL
PATCH,/api/app/projects/:id,YES,REAL
POST,/api/app/projects/:projectId/addons/:addonId/activate,YES,REAL
POST,/api/app/projects/:projectId/addons/:addonId/deactivate,YES,REAL
PATCH,/api/app/projects/:projectId/addons/:addonId,YES,REAL
GET,/api/app/projects/:projectId/addons,YES,REAL
POST,/api/app/projects/:projectId/ai,YES,REAL
GET,/api/app/projects/:projectId/analytics,YES,REAL
POST,/api/app/projects/:projectId/assets/confirm,YES,REAL
POST,/api/app/projects/:projectId/assets/presign,YES,REAL
POST,/api/app/projects/:projectId/branches/:id/merge,YES,REAL
GET,/api/app/projects/:projectId/branches,YES,REAL
POST,/api/app/projects/:projectId/branches,YES,REAL
DELETE,/api/app/projects/:projectId/branches/:id,YES,REAL
DELETE,/api/app/projects/:projectId/comments/:id,YES,REAL
PATCH,/api/app/projects/:projectId/comments/:id,YES,REAL
GET,/api/app/projects/:projectId/comments,YES,REAL
POST,/api/app/projects/:projectId/comments,YES,REAL
GET,/api/app/projects/:projectId/deployments/changes,YES,REAL
POST,/api/app/projects/:projectId/deployments/:id/rollback,YES,REAL
GET,/api/app/projects/:projectId/deployments,YES,REAL
POST,/api/app/projects/:projectId/deployments,YES,REAL
POST,/api/app/projects/:projectId/domains/:id/primary,YES,REAL
POST,/api/app/projects/:projectId/domains/:id/verify,YES,REAL
DELETE,/api/app/projects/:projectId/domains/:id,YES,REAL
GET,/api/app/projects/:projectId/domains,YES,REAL
POST,/api/app/projects/:projectId/domains,YES,REAL
POST,/api/app/projects/:projectId/exports/schedules/:scheduleId/run,YES,REAL
PATCH,/api/app/projects/:projectId/exports/schedules/:scheduleId,YES,REAL
GET,/api/app/projects/:projectId/exports/schedules,YES,REAL
POST,/api/app/projects/:projectId/exports/schedules,YES,REAL
GET,/api/app/projects/:projectId/exports/:id/artifacts/:artifactId/download,YES,REAL
POST,/api/app/projects/:projectId/exports/:id/cancel,YES,REAL
GET,/api/app/projects/:projectId/exports,YES,REAL
POST,/api/app/projects/:projectId/exports,YES,REAL
POST,/api/app/projects/:projectId/git/authorize,YES,REAL
POST,/api/app/projects/:projectId/git/conflicts/:conflictId/resolve,YES,REAL
DELETE,/api/app/projects/:projectId/git/connection,YES,REAL
PUT,/api/app/projects/:projectId/git/connection,YES,REAL
POST,/api/app/projects/:projectId/git/operations,YES,REAL
POST,/api/app/projects/:projectId/git/webhook-secret,YES,REAL
GET,/api/app/projects/:projectId/git,YES,REAL
POST,/api/app/projects/:projectId/integrations/:providerId/verify,YES,REAL
POST,/api/app/projects/:projectId/integrations/:providerId/delete-confirmation,YES,REAL
DELETE,/api/app/projects/:projectId/integrations/:providerId,YES,REAL
PATCH,/api/app/projects/:projectId/integrations/:providerId,YES,REAL
GET,/api/app/projects/:projectId/integrations,YES,REAL
POST,/api/app/projects/:projectId/integrations,YES,REAL
DELETE,/api/app/projects/:projectId/languages/:id,YES,REAL
PATCH,/api/app/projects/:projectId/languages/:id,YES,REAL
GET,/api/app/projects/:projectId/languages,YES,REAL
POST,/api/app/projects/:projectId/languages,YES,REAL
DELETE,/api/app/projects/:projectId/members/invitations/:id,YES,REAL
POST,/api/app/projects/:projectId/members/invite,YES,REAL
PATCH,/api/app/projects/:projectId/members/:id/role,YES,REAL
DELETE,/api/app/projects/:projectId/members/:id,YES,REAL
POST,/api/app/projects/:projectId/members/transfer-ownership,YES,REAL
GET,/api/app/projects/:projectId/members,YES,REAL
POST,/api/app/projects/:projectId/openapi/sync,YES,REAL
DELETE,/api/app/projects/:projectId/openapi,YES,REAL
GET,/api/app/projects/:projectId/openapi,YES,REAL
PUT,/api/app/projects/:projectId/openapi,YES,REAL
POST,/api/app/projects/:projectId/pages/reorder,YES,REAL
DELETE,/api/app/projects/:projectId/pages/:id,YES,REAL
GET,/api/app/projects/:projectId/pages/:id,YES,REAL
PATCH,/api/app/projects/:projectId/pages/:id,YES,REAL
GET,/api/app/projects/:projectId/pages,YES,REAL
POST,/api/app/projects/:projectId/pages,YES,REAL
POST,/api/app/projects/:projectId/settings/git/import,YES,REAL
POST,/api/app/projects/:projectId/settings/git/webhook-secret,YES,REAL
POST,/api/app/projects/:projectId/settings/import/ghost,YES,REAL
POST,/api/app/projects/:projectId/settings/import/mintlify,YES,REAL
GET,/api/app/projects/:projectId/settings/search/diagnostics,YES,REAL
POST,/api/app/projects/:projectId/settings/search/reindex,YES,REAL
GET,/api/app/projects/:projectId/settings/search,YES,REAL
PATCH,/api/app/projects/:projectId/settings/search,YES,REAL
GET,/api/app/projects/:projectId/settings/usage,YES,REAL
GET,/api/app/projects/:projectId/settings,YES,REAL
PATCH,/api/app/projects/:projectId/settings,YES,REAL
POST,/api/app/projects/:projectId/api-keys/:id/rotate,YES,REAL
DELETE,/api/app/projects/:projectId/api-keys/:id,YES,REAL
GET,/api/app/projects/:projectId/api-keys,YES,REAL
POST,/api/app/projects/:projectId/api-keys,YES,REAL
DELETE,/api/app/projects/:projectId/reader-access/audiences/:audienceId,YES,REAL
POST,/api/app/projects/:projectId/reader-access/audiences,YES,REAL
POST,/api/app/projects/:projectId/reader-access/jwt/test,YES,REAL
PUT,/api/app/projects/:projectId/reader-access/jwt,YES,REAL
PUT,/api/app/projects/:projectId/reader-access/mode,YES,REAL
POST,/api/app/projects/:projectId/reader-access/readers/invite,YES,REAL
POST,/api/app/projects/:projectId/reader-access/readers/:readerId/revoke,YES,REAL
POST,/api/app/projects/:projectId/reader-access/emergency-revoke,YES,REAL
GET,/api/app/projects/:projectId/reader-access,YES,REAL
GET,/api/app/projects,YES,REAL
POST,/api/app/projects,YES,REAL
GET,/api/app/workspace/analytics,YES,REAL
GET,/api/app/workspace,YES,REAL
PATCH,/api/app/workspace,YES,REAL
GET,/api/public/git/previews/:token,YES,REAL
GET,/api/public/invitations/:id,YES,REAL
GET,/api/public/meta,YES,REAL
GET,/api/public/pages/:id,YES,REAL
POST,/api/public/sites/:id/answer,YES,REAL
GET,/api/public/sites/:id/changelog,YES,REAL
POST,/api/public/sites/:id/events,YES,REAL
GET,/api/public/sites/:id/page,YES,REAL
GET,/api/public/sites/:id/search,YES,REAL
GET,/api/public/sites/:id,YES,REAL
